circuitId,circuitRef,name,location,country,lat,lng,alt
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-378497,144968,10
2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,276083,101738,18
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,260325,505106,7
4,catalunya,Circuit de Barcelona-Catalunya,MontmelÃ³,Spain,41.57,226111,109
5,istanbul,Istanbul Park,Istanbul,Turkey,409517,29405,130
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347,742056,7
7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228,13
8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,468642,316361,228
9,silverstone,Silverstone Circuit,Silverstone,UK,520786,-101694,153
10,hockenheimring,Hockenheimring,Hockenheim,Germany,493278,856583,103
11,hungaroring,Hungaroring,Budapest,Hungary,475789,192486,264
12,valencia,Valencia Street Circuit,Valencia,Spain,394589,-0.331667,4
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372,597139,401
14,monza,Autodromo Nazionale di Monza,Monza,Italy,456156,928111,162
15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,12914,103864,18
16,fuji,Fuji Speedway,Oyama,Japan,353717,138927,583
17,shanghai,Shanghai International Circuit,Shanghai,China,313389,121.22,5
18,interlagos,AutÃ³dromo JosÃ© Carlos Pace,SÃ£o Paulo,Brazil,-237036,-466997,785
19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39795,-862347,223
20,nurburgring,NÃ¼rburgring,NÃ¼rburg,Germany,503356,69475,578
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439,117167,37
22,suzuka,Suzuka Circuit,Suzuka,Japan,348431,136541,45
80,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States,361147,-115173,\N
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,244672,546031,3
25,galvez,AutÃ³dromo Juan y Oscar GÃ¡lvez,Buenos Aires,Argentina,-346943,-584593,8
26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,367083,-603417,37
27,estoril,AutÃ³dromo do Estoril,Estoril,Portugal,387506,-939417,130
