ID_CCAA;CCAA;Sector;31/12/2018;31/12/2017;31/12/2016;31/12/2015;31/12/2014;31/12/2013;31/12/2012;31/12/2011;31/12/2010
1;ANDALUCÍA;Agricultura, ganadería, silvicultura y pesca;9486917;9539850;9130539;8990679;7047628;6831091;6126471;6747056;7130345
1;ANDALUCÍA;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;18584713;18776441;17228296;16428310;15875402;15804557;16573699;16986741;16614034
1;ANDALUCÍA;Industria manufacturera;12738654;12886343;11907163;11349060;10902074;10652107;11278246;11826482;11711608
1;ANDALUCÍA;Construcción;10530530;9490909;8714677;8308293;7801096;7926494;9382966;11240247;13548900
1;ANDALUCÍA;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;33588346;32767037;31176566;30130947;28784014;28210359;28954628;29286818;28656368
1;ANDALUCÍA;Información y comunicaciones;3390827;3293221;3251108;3168307;3157384;3342729;3478596;3539195;3669413
1;ANDALUCÍA;Actividades financieras y de seguros;5152344;4876717;4649838;4575143;4444487;4151503;4690455;4822590;5185885
1;ANDALUCÍA;Actividades inmobiliarias;18364644;18069471;17984114;17756561;18058466;18032870;17604444;17030051;16019966
1;ANDALUCÍA;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;8583531;7898013;7486152;7513591;7242966;6666543;6768653;7192342;7158436
1;ANDALUCÍA;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;31971518;30855732;30461552;29697863;28658965;28782685;28892408;30199843;30045811
1;ANDALUCÍA;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;5821500;5813998;5705982;5685707;5503478;5575938;5718419;5891675;5793530
2;ARAGÓN;Agricultura, ganadería, silvicultura y pesca;2155297;2121750;2011281;1482601;1639412;1820410;1490726;1521011;1582068
2;ARAGÓN;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;8205826;8015289;7381258;7305488;7314825;7033258;6860201;7333770;7381593
2;ARAGÓN;Industria manufacturera;6630371;6415306;5950078;5798093;5771376;5313318;5083428;5509500;5551348
